Legend:,Completed,Cooking,Different Weapon,Dungeons/Towers,Entertainment Industry,Evil/Villain,Family,Female MC,Game,Isekai,Kingdom/World Building,Medical,Medieval Fantasy,Modern World Cheat,Murim,Necromancer,Non-Human,Regression,Reincarnation,Returnee,Revenge,School,Side Character/Extra,Skill Taking,Sports,Sword/Magic Academy,Unique Cheat System,Zombies
Abbreviations for Reference:,Completed manhwas with mixed genres/themes except otome isekai.,Story revolves around cooking/food.,MC has a different weapon that is not a sword/dagger.,"One day, they started to appear on Earth...",MC is working in the entertainment industry.,MC is evil/villain or an anti-hero atleast.,Story revolves around the wholesome relationships of a family. ,Action oriented story with female mc excluding otome isekais.,"Story revolves around games like VR, RPG etc..",MC got isekai'd (transported) into a different world.,Story focuses on kingdom/world building or has its elements atleast.,Story revolves around the medical field.,Story is set on medieval times with swords and magic.,MC has a special ability/power/system that only he has.,Story is set on murim or martial arts fantasy world.,MC knows necromancy/is a necromancer.,MC is not a human.,MC regressed/went back to the past.,MC is reincarnated into a different body/person/world.,MC went back to his original world from another world/planet.,MC wants to take revenge on someone.,"Story revolves around on school with bullying, gangs, mafias etc..","MC is just a side character/extra in a game, novel etc..",MC can copy or take other people's skills/ability.,Story revolves around sports.,MC attended/attends swords/magic academy or any school of some sort.,MC obtained a system that only he has.,World became infected with zombies.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+100) - Over a Hundred Chapters,Return of the 8th Class Magician (-100) (G) ,Bizzare Restaurant (-100) (G),Warrior Highschool - Dungeon Raid Department (-100) (G),"Pick Me Up, Infinite Gacha (-100) (G)",The Second Life of an All-Rounder Idol (-100) (D),Existence (-100) (R),Be the Actor (-100) (G),Brave Shimin (-100) (G),My Insanely Competent Underlings (-100) (G),On My Way to Kill God (-100) (D),Dungeon Odyssey (-100) (G),Dr. Player (-100) (G),The Demon Prince Goes to the Academy (-100) (G),Drama Writer Who Reads Spoilers (-100) (D),Martial Streamer (-100) (G),Boundless Necromancer (-100) (G),So You're Raising a Warrior (-100) (R),Relife Player (-100) (G),The Demon Prince Goes to the Academy (-100) (G),Bizzare Restaurant (-100) (G),I Regressed to my Ruined Family (-100) (G),Highschool Detective Agency (-100) (G),The Demon Prince Goes to the Academy (-100) (G),Boundless Necromancer (-100) (G),Conquer the Throne Highschool (-100) (G),The Demon Prince Goes to the Academy (-100) (G),The Demon Prince Goes to the Academy (-100) (G),"One Day, Suddenly, Seoul Is (-100) (R)"
(-100) - Less than a Hundred Chapters,Return Survival (+100) (R),Heavenly Demon Bakery (-100) (G),On My Way to Kill God (-100) (D),Boundless Necromancer (-100) (G),Drama Writer Who Reads Spoilers (-100) (G),Villain To Kill (-100) (R),My Daughter is a Dragon! (-100) (G),The Female Lead Acquires Cheat Skills (-100) (D),I Got Lucky and Pulled a 10th Rank Summon (-100) (D),Dungeon Athlete (-100) (G),The Greatest Estate Designer (-100) (HR),"Can I, a doctor, save 10 billion lives in another world? (-100) (G)",Infinite Mage (-100) (G),Memorist (-100) (G),A Modern Man Who Transmigrated Into the Murim World (-100) (G),Dukedom's Legendary Prodigy (-100) (G),Surviving as a Fish (-100) (G),The Second Life of an All-Rounder Idol (-100) (G),Martial Streamer (-100) (G),The Strongest Unemployed Hero (-100) (D),Cryptocurrency Revenge (-100) (G),Death Cord (-100) (R),I Became the Mad Emperor (-100) (D),A Gate Opened on my First Day as a Politician (-100) (G),Street Workout (-100) (G),Infinite Mage (-100) (G),Dr. Player (-100) (G),Zomgan (-100) (R)
,Way to Heaven (+100) (G) ,Michelin Star (+100 (G),Return of the SSS-Class Ranker (-100) (D),Relife Player (-100) (G),Be the Actor (-100) (G),Regressor Instruction Manual (-100) (R),Chronicles of the Martial God's Return (-100) (R),One Step for the Dark Lord (-100) (R),World's Strongest Troll (-100) (G),Reincarnation of the Veteran Soldier (-100) (G),Treacherous Subject Saves the Country (-100) (G),Level-Up Doctor (-100) (G),I Became the Mad Emperor (-100) (D),Absolute Obedience (-100) (D),Memoir of the Legendary Scholar (-100) (G),The Dark Magician Transmigates after 66666 Years (-100) (G),Grim Reaper Online (-100) (D),I Regressed to my Ruined Family (-100) (G),I Became the Mad Emperor (-100) (D),"Player Who Returned 10,000 Years Later (-100) (G)",The Chaebol's Youngest Son (-100) (R),Attention Seeker (-100) (D),The Duke's Redemption (-100) (D),Carnivorous Hunter (-100) (D),The Joy of Wrestling (-100) (G),Life of a Magic Academy Mage (-100) (G),Secret Player (-100) (G),All Rounder (-100) (G)
(C) - Completed,Reverse Villain (+100) (M),Kitchen Soldier (-100) (D),The Novel's Extra (Remake) (-100) (R),Poison-Eating Healer (-100) (G),I Became a Top Actor Just by Reading Books (-100) (G),Pure Villain (-100) (R),My Daughter is the Final Boss (-100) (G),Empress Hunt (-100) (R),Return of the SSS-Class Ranker (-100) (D),Newbie Management (-100) (G),Return of the Mount Hua Sect (-100) (HR),"To Hell with Being a Saint, I'm a Doctor (-100) (D)",Dr. Player (-100) (G),Debut or Die (-100) (R),World's Greatest Senior Disciple (-100) (G),Kill The Hero (+100) (G),Androids Have No Blood (-100) (D),Be the Actor (-100) (G),A Modern Man Who Transmigrated Into the Murim World (-100) (G),Chronicles of the Martial God's Return (-100) (R),Secret Player (-100) (G),Fighters (-100) (G),Villain Unrivaled (-100) (G),Solo Max-Level Newbie (-100) (G),King of Octagon (-100) (R),Warrior Highschool - Dungeon Raid Department (-100) (G),I Became a Tyrant of a Defense Game (-100) (R),Dead Life (-100) (G)
,Solo Leveling (+100) (R),The Chef Hides His Blessing (+100) (G),Superhuman Battlefield (-100) (D),I Used to be a Boss (-100) (G),Debut or Die (-100) (R),FFF-Class Trash Hero (+100) (R),I Become a Doting Father (-100) (G),I Stole the Number One Ranker's Soul (-100) (D),Gaming Stream of the Genius (-100) (G),Magical Shooting: Sniper of Steel (-100) (D),I Regressed as the Duke (-100) (M),Perfect Surgeon (-100) (G),Life of a Magic Academy Mage (-100) (G),King of the Mound (-100) (G),Heavenly Inquisition Sword (-100) (R),The Healing Priest of the Sun (-100) (G),Psychopath Hero (-100) (G),Archmage Transcending Through Regression (-100) (G),Life of a Magic Academy Mage (-100) (G),The Constellation that Returned from Hell (+100) (G),Killing Killer (-100) (R),The 18 Year Old Spy (-100) (G),Youngest Scion of the Mages (-100) (G),I Obtained a Mythic Item (-100) (G),King of the Mound (-100) (G),Ghost Story Club (-100) (G),I am Reborn as the Sword God (-100) (G),Psychopath Hero (-100) (G)
(HR) - Highly Recommended,I Shall Live as a Prince (-100) (R),Street Restaurant of a Returned Hero (-100) (D),All Rounder (-100) (G),Stuck in the Tower (-100) (D),Top Star's Talent Library (-100) (G),How to Live as a Villain (-100) (G),My Daughter is a Music Genius (-100) (G),Ending Maker (-100) (R),I Have Max Level Luck (-100) (G),Transmigrating to the Otherworld Once More (-100) (G),All Rounder (-100) (G),Physician Return (-100) (D),I'm Not That Kind of Talent (-100) (G),Top Star's Talent Ability (-100) (G),Pride of the Blade (-100) (G),Seoul Station Necromancer (-100) (D),Call of the Spear (-100) (G),Midwood (-100) (G),Demon Lord's Martial Ascension (-100) (D),Seoul Station Necromancer (-100) (D),Death God (-100) (R),Hectopascal (-100) (G),Never Die Extra (-100) (G),Talent-Swallowing Magician (-100) (G),Infinity (-100) (G),My School Life Pretending to be a Worthless Person (-100) (G),King of the Mound (-100) (G),Parallel City (-100) (R)
(R) - Recommended ,The Horizon (-100) (HR),Please Have a Meal (-100) (G),Magical Shooting: Sniper of Steel (-100) (D),Demon Lord's Martial Ascension (-100) (D),The Definition of a Top Star (-100) (G),The Earth Savior Selection (-100) (G),My Dad is Too Strong (+100) (G),Hero Killer (-100) (R),Superhuman Battlefield (-100) (D),Surviving in an Action Manhwa (-100) (R),The Max Level Hero Has Returned! (+100) (D),I Reincarnated as the Legendary Surgeon (-100) (G),I Regressed to my Ruined Family (-100) (G),I Became a Genius Salesman (-100) (G),Villain Unrivaled (-100) (G),Solo Necromancy (-100) (G),Is There a Problem if the Demon King is a Goblin?! (-100) (D),I Became a Top Actor Just by Reading Books (-100) (G),The Duke's Redemption (-100) (D),Seoul Station Druid (-100) (D),Death Row Boy (-100) (R),Pretty Guy (-100) (G),I Became the Tyrant of a Defense Game (-100) (R),Return of the Disaster-Class Hero (-100) (G),Build Up (-100) (R),I Have Max Level Luck (-100) (G),Transcension Academy (-100) (D),Safe as Houses (-100) (D)
(G) - Good,The Boxer (+100) (HR),Youngest Chef from the 3rd Rate Hotel (-100) (G),Kill The Dragon (-100) (R),Bizzare Restaurant (-100) (G),My Superstar Uncle (+100) (G),Hero Has Returned (-100) (R),So You're Raising a Warrior (-100) (R),Pure Villain (-100) (R),Grim Reaper Online (-100) (D),Worthless Regression (-100) (G),Solo Bug Player (+100) (D),Doctor's Rebirth (-100) (R),The Duke's Redemption (-100) (D),Chemy (-100) (G),Nostalgic Warrior (-100) (G),Second Life Ranker (+100) (G),Lord of Goblins (-100) (D),Youngest Son of the NamGung Clan (-100) (D),Youngest Scion of the Mages (-100) (D),Street Restaurant of a Returned Hero (-100) (D),Kill the Hero (+100) (G),Absolute Obedience (-100) (D),I am Reborn as the Sword God (-100) (G),Level-Up Doctor (-100) (G),I Want to Become Pro (-100) (G),Academy's Undercover Professor (-100) (R),Clever Cleaning Life of the Returned Genius Hunter (-100) (R),Tacit (-100) (G)
